                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8954,                0.05556,                0.58333,                 2.7969,                      0,                      0,                      0
                      2,                 3.8954,                0.05556,                0.58333,                 2.7971,             6.9044e-06,             6.9044e-06,             6.9044e-06
                      3,                 3.8799,                0.02778,                0.61111,                 2.7969,             1.3338e-05,             1.3338e-05,             1.3338e-05
                      4,                 3.8501,                0.02778,                0.58333,                 2.7963,             1.9299e-05,             1.9299e-05,             1.9299e-05
                      5,                 3.8074,                0.05556,                0.58333,                 2.7952,              2.479e-05,              2.479e-05,              2.479e-05
                      6,                 3.7532,                0.11111,                0.58333,                 2.7936,              2.981e-05,              2.981e-05,              2.981e-05
                      7,                 3.6888,                0.16667,                0.61111,                 2.7916,             3.4358e-05,             3.4358e-05,             3.4358e-05
                      8,                 3.6158,                   0.25,                0.66667,                 2.7889,             3.8435e-05,             3.8435e-05,             3.8435e-05
                      9,                 3.5357,                0.27778,                0.72222,                 2.7856,              4.204e-05,              4.204e-05,              4.204e-05
                     10,                   3.45,                0.30556,                0.72222,                 2.7815,             4.5175e-05,             4.5175e-05,             4.5175e-05
                     11,                 3.3599,                0.36111,                0.83333,                 2.7767,             4.7838e-05,             4.7838e-05,             4.7838e-05
                     12,                 3.2668,                0.44444,                0.88889,                 2.7712,              5.003e-05,              5.003e-05,              5.003e-05
                     13,                 3.1718,                0.52778,                0.97222,                 2.7651,             5.1751e-05,             5.1751e-05,             5.1751e-05
                     14,                 3.0758,                0.69444,                      1,                 2.7582,                5.3e-05,                5.3e-05,                5.3e-05
                     15,                 2.9799,                0.86111,                      1,                 2.7506,             5.3778e-05,             5.3778e-05,             5.3778e-05
                     16,                 2.8847,                0.91667,                      1,                 2.7424,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     17,                 2.7911,                0.91667,                      1,                 2.7336,             5.3921e-05,             5.3921e-05,             5.3921e-05
                     18,                 2.6995,                0.94444,                      1,                 2.7243,             5.3286e-05,             5.3286e-05,             5.3286e-05
                     19,                 2.6106,                0.97222,                      1,                 2.7145,             5.2179e-05,             5.2179e-05,             5.2179e-05
                     20,                  2.525,                      1,                      1,                 2.7043,             5.0601e-05,             5.0601e-05,             5.0601e-05
                     21,                 2.4431,                      1,                      1,                  2.694,             4.8552e-05,             4.8552e-05,             4.8552e-05
                     22,                 2.3657,                      1,                      1,                 2.6836,             4.6032e-05,             4.6032e-05,             4.6032e-05
                     23,                 2.2933,                      1,                      1,                 2.6733,              4.304e-05,              4.304e-05,              4.304e-05
                     24,                 2.2265,                      1,                      1,                 2.6634,             3.9577e-05,             3.9577e-05,             3.9577e-05
                     25,                 2.1657,                      1,                      1,                  2.654,             3.5643e-05,             3.5643e-05,             3.5643e-05
                     26,                 2.1115,                      1,                      1,                 2.6453,             3.1237e-05,             3.1237e-05,             3.1237e-05
                     27,                 2.0645,                      1,                      1,                 2.6376,             2.6361e-05,             2.6361e-05,             2.6361e-05
                     28,                  2.025,                      1,                      1,                 2.6312,             2.1013e-05,             2.1013e-05,             2.1013e-05
                     29,                 1.9938,                      1,                      1,                 2.6261,             1.5194e-05,             1.5194e-05,             1.5194e-05
                     30,                 1.9713,                      1,                      1,                 2.6227,             8.9036e-06,             8.9036e-06,             8.9036e-06
